timestamp,transaction_count,unique_wallets,total_volume_usd,sample_wallets
2025-11-22 15:45:00+00:00,46,40,8216.342700370791,"['2UPrqbdAsynHNeKtsQ4YxjuwbbXmgM5doYFwJLQTeswZ', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '86BV14GNPr54Jag8aXstbZ3mEXgUH2Bo6AjWeNN59yAY', 'Hu198cJsDhuVumZpRBYXDuzW4g4g5xVSfzFrjhJvombS', 'CqQMFUCEMbK9Cp9yMonmthKqzc59Ta48JpZMZsh1bDqf']"
2025-11-22 13:35:00+00:00,44,41,1864.980251981538,"['2UPrqbdAsynHNeKtsQ4YxjuwbbXmgM5doYFwJLQTeswZ', '2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', 'CqQMFUCEMbK9Cp9yMonmthKqzc59Ta48JpZMZsh1bDqf', '5EJDswvCMMfgiMG3Qn5vcsjYZQW8kVhCwrZ1eRzkRFuB']"
2025-11-22 15:40:00+00:00,37,38,3959.151948499257,"['91d9qFqJWNQKFoz7RbfyVp8c4DMjuiP2ZyRX1VNrBAXx', '8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9', '2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '7VuFrPc4X4FzBygx8k32MHVqE3WvF5vz5m3U45ii3eyq']"
2025-11-22 13:50:00+00:00,37,26,4720.116441389283,"['5r61axUSAetYzXRqychZwTWZbVgpbnQGSTEpdDP1w3Li', '3crSqvBk1VeiR4TYzW3SmzUosPn9MF5UjtLK3WxVEH2U', 'BckSupmAdrcQczyohr4jXjUBYfJ2ppPf2DTJQxibcCKS', '3VzoHtaGo5eaLXtkXL9Mbn8mpFfxKenpq1pwc3JT4Ktt', 'C2L6DdAtVQNcDw3KKGoyWTV3AfuYdUfPKZn21EEhKMkm']"
2025-11-22 16:15:00+00:00,37,31,8189.699520711737,"['8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq', 'Hu198cJsDhuVumZpRBYXDuzW4g4g5xVSfzFrjhJvombS', '2o5oUFFLya8DPc6jqb6tz3zTt7jRFg2bK4Vj45g9UWQB']"
2025-11-22 12:45:00+00:00,37,29,1576.317646403068,"['2UPrqbdAsynHNeKtsQ4YxjuwbbXmgM5doYFwJLQTeswZ', '8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9', '2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq', '2ZBPAgLJw7f37jt537gvYtRDGjrCswdA1gmqRuzMa6cL', 'Fdo47EPoxbFY8xCRVU7VTKWCdhTsXGt91qtKSVX7y1SR']"
2025-11-22 12:30:00+00:00,36,27,2048.427591573825,"['Gkg3L8K8nYCfcpnoTxya5MgQgLEJvSQtuzEiTpPd1dj7', '8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9', '2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '5NpnbQ3cRVgfGZqWX2j5hi9LphRn5gPN8b7kQEkgJHh4']"
2025-11-22 12:25:00+00:00,35,28,1317.655659644458,"['9JyoFvDbKRmVGY11dhoBAVyBX2uDgxbNcaxWNoyaa4v1', '8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9', '2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq', '7G3WCkD7Mj4n5PJeDU8AchNR2g8EFzSemyYzKY1oAEKx', 'AZHaQS5RQCYos9ttwRf2m9kNJACMeCUpM3c7rpi4LhtM']"
2025-11-22 15:15:00+00:00,34,31,17649.6540415827,"['8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9', '32pXye3ZJBYRYzhrb5WDrMw6UmZNETh9XUPNdckWjkFK', '7G3WCkD7Mj4n5PJeDU8AchNR2g8EFzSemyYzKY1oAEKx', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '3DwrRZxMMLZ4KdPzvZ8v4pYNo5F1sSiRJUaKPSAcFYtA']"
2025-11-22 15:30:00+00:00,33,33,90366.98293084357,"['3wqxMfwBGVoTqFetT7AFa4CrAxsut7yUi4fdyoqD2Qz1', 'Gno3Bc8VJaEsgzYLkHG11jQJ39AcNPVgXzXZA7R5SYsm', '9JyoFvDbKRmVGY11dhoBAVyBX2uDgxbNcaxWNoyaa4v1', '2mGpVLB2P6yVBWneYz2nsffKoVwADKKhKnrLQvmZeMZf', 'F2RKf56URxu5PovqZx2G3hhaFWhD7W2G3fZ6a7x36pVm']"
