transaction_hash,start_wallet,end_wallet,start_entity_type,end_entity_type,timestamp,block_number,usd_value,token_symbol,token_address,chain,hop_count,is_self_transfer
21MgH3bGFkQnkcCthWMRxMDiXndMsHAgaroMzamMrTt1Gc2GBeSEDezUMQaoAEfLZABsSdiDafPzqLjp8XuV34h4,772EuqFfAxXaqhDfgQsG5i1hibBwR1z8hrmW18gkt5MQ,772EuqFfAxXaqhDfgQsG5i1hibBwR1z8hrmW18gkt5MQ,,,2025-11-20 16:41:48+00:00,381365330,0.8196591344144001,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
21QBEWuQ4ZHQcCta7aDDEf9KgT3RU7uVvk4avqpcuMYugL7ear3PoZA9wYoiAvUKW1quYYvPNiKUTLhCJBHaxbjP,3YGJvtvtWJHER2xUDfitupgX1bn1eSEjijZTGMnPHg5z,3YGJvtvtWJHER2xUDfitupgX1bn1eSEjijZTGMnPHg5z,,,2025-11-21 07:34:59+00:00,381500477,2.3520414689928004,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
21TLCEu2g2QUqzX3gnf8veLwi3fPojuaToSwfY8qutxsbWLR5wRXA7fGtTDtJn4EigQhxjVEB5Xbq2kcSejYNCFT,B9YSqVjFR5f65PkC2vth2NGg4kBwVsBmWa6Um4Y894VR,B3euHgqCvdoEgrqhJcvD7aRzVzJEiwVJJdipmm8BBWaV,dex-aggregator,,2025-11-21 08:11:38+00:00,381506004,10.745136124944,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,3,False
21gQjvvHDv8ywvkmCar2uQmKVaKA2Phjewc92Bf5JWq4rrbCfujS8yLyYiUX1FuLHBrfiYC3SYZfKvk5xUvYk9Sz,4ufniykzXVAYav5J9cwtPserGMyogFNPtYMswexb73wt,CS1yRaZG7839Jryzo1friATLHHBaWKTahHSVBAiVXnhx,,dex-aggregator,2025-11-23 03:15:17+00:00,381897972,2.9845634203675,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,4,False
22AmyeUe8V7JGMX1Aq5fbWWf2xwFVvAK28MeFo4n8grUrdmLapozQVi1VhGAvnS9jg8VNwoHnbwRxuHk4ekYtTbh,3BUjhLw2Gaz3WR7hwb6357SZC7odnQrcDu9dWF8qFkdD,3BUjhLw2Gaz3WR7hwb6357SZC7odnQrcDu9dWF8qFkdD,,,2025-11-21 22:56:46+00:00,381640064,0.11520681011839999,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
22eZXgeXb3QFLiU5m7gvwvks7oQrd2bsE8YSPsHXdqkQ3cyz3DhrKwuLeURfaBmzrWFnXeuuTJiRjzTBJaFRanxK,EXD3r5sAV5xcJYhvuQp6JERpjFw8unVcrPU6EPLaFnBA,EXD3r5sAV5xcJYhvuQp6JERpjFw8unVcrPU6EPLaFnBA,dex-aggregator,dex-aggregator,2025-11-21 13:16:25+00:00,381552121,228.437724,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,3,True
231ZEFGK3u2Wfv7j9eWzxkFuzU6P5M149s5TeJkRYAXaA84acyEWism5689TmxhHg8QHFMYnm1mKbgp7aex7AwGV,Dmm7dp8LmwBQ2qVSuGYt5bfYkkFAtq7kp1EwFZa5AL4J,Dmm7dp8LmwBQ2qVSuGYt5bfYkkFAtq7kp1EwFZa5AL4J,,,2025-11-20 16:18:35+00:00,381361846,0.7369288590196,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
236V55YSciLj1Xv8izomyHvPmGPpkXaZHscPhGojDMd4w9KwJ3a7i5SRjnEN3xW45QtmkxfRszvjGUAkfZocnbdX,CCcM4XTNsdS5R2D7meMX8kaPzWLCuHK7F9SHG8ZXe7ty,CCcM4XTNsdS5R2D7meMX8kaPzWLCuHK7F9SHG8ZXe7ty,,,2025-11-21 09:22:18+00:00,381516677,0.0526777126254,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
23Chkom7sahqFEuB4EteWuEQxhe2AMwYPH5wNad96rzhogx6DRJ3fGTUHp2319f5Mozi21U2LDSbpRZtCkkji1uL,FYUowdAVvsaPch5oZuF9WxmbKJjyhsqya96pBNpigRjb,FYUowdAVvsaPch5oZuF9WxmbKJjyhsqya96pBNpigRjb,,,2025-11-23 02:07:59+00:00,381887751,0.6552963042432,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
23TWjJMKDTscy2QYfwaZS72cdFd1EA6qbwbTwpmoMmYnFpfXmX31VS96dm7VUjNtZoEyq1q8p4Q6vuoG1h5kyymz,CCcM4XTNsdS5R2D7meMX8kaPzWLCuHK7F9SHG8ZXe7ty,CCcM4XTNsdS5R2D7meMX8kaPzWLCuHK7F9SHG8ZXe7ty,,,2025-11-20 18:12:10+00:00,381378940,0.7761032380496,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
